Rank,Airport,Location,Country,Code,Passengers,Year,Latitude,Longitude,Continent
18,United States Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,27200000,2020,35.21389,-80.943054,North America
19,United Arab Emirates Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,DXB/OMDB,25900000,2020,25.252777,55.364445,Asia
20,Turkey Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,23409000,2020,40.898335,29.309168,Asia
21,France Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,22257469,2020,49.009724,2.547778,Europe
22,United Kingdom Heathrow Airport,"Hillingdon, London",United Kingdom,LHR/EGLL,22109726,2020,51.47002,-0.454295,Europe
23,Mexico Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,MEX/MMMX,21981711,2020, 19.44,-99.07,North America
24,United States Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX/KPHX,21928708,2020,33.43,-112.01,North America
25,Vietnam Tan Son Nhat International Airport,"Tân Bình District, Ho Chi Minh City",Vietnam,SGN/VVTS,21900000,2020,10.81,106.65,Asia
26,United States Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,21617803,2020,28.43,-81.3,North America
27,China Zhengzhou Xinzheng International Airport,"Xinzheng, Zhengzhou, Henan",China,CGO/ZHCC,21406709,2020,34.51,113.83,Asia
28,South Korea Jeju International Airport,"Jeju City, Jeju Province",South Korea,CJU/RKPC,21054696,2020,33.5,126.4892,Asia
29,Netherlands Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,20887174,2020,52.308056,4.764167,Europe
30,Brazil São Paulo/Guarulhos International Airport,Guarulhos,Brazil,GRU/SBGR,20322520,2020,-23.4258,-46.4683,South America
31,United States Seattle–Tacoma International Airport,"SeaTac, Washington",United States,SEA/KSEA,20061507,2020,47.443546,-122.301659,North America
32,China Nanjing Lukou International Airport,"Jiangning District, Nanjing, Jiangsu",China,NKG/ZSNJ,19906576,2020,31.7387,118.8572,Asia
33,Russia Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,SVO/UUEE,19784000,2020,55.9703,37.4088,Europe
34,China Changsha Huanghua International Airport,"Huanghua, Changsha, Hunan",China,CSX/ZGHA,19223825,2020, 28.1913,113.2192,Asia
35,Germany Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,18770998,2020,50.033333,8.570556,Europe
36,United States Miami International Airport,"Miami-Dade County, Florida",United States,MIA/KMIA,18663858,2020,25.7933,-80.2906,North America
37,United States George Bush Intercontinental Airport,"Houston, Texas",United States,IAH/KIAH,18213571,2020,29.704067,-95.620361,North America
38,South Korea Gimpo International Airport,"Gangseo District, Seoul",South Korea,GMP/RKSS,17446239,2020,37.5575,126.8005,Asia
39,Spain Madrid Barajas Airport,"Barajas, Madrid",Spain,MAD/LEMD,17112000,2020,40.49,-3.57,Europe
40,Turkey Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",Turkey,SAW/LTFJ,16982456,2020,40.898335,29.309168,Asia
41,China Xiamen Gaoqi International Airport,"Huli District, Xiamen, Fujian",China,XMN/ZSAM,16710197,2020,24.5398,118.1233,Asia
42,Thailand Suvarnabhumi Airport,"Bang Phli, Samut Prakan",Thailand,BKK/VTBS,16706000,2020,13.689999,100.750114,Asia
43,United States John F. Kennedy International Airport,"Queens, New York, New York",United States,JFK/KJFK,16630642,2020,40.641766,-73.780968,North America
44,China Guiyang Longdongbao International Airport,"Nanming District, Guiyang, Guizhou",China,KWE/ZUGY,16583878,2020,26.5365,106.8005,Asia
45,China Haikou Meilan International Airport,"Lingshan, Haikou, Hainan",China,HAK/ZJHK,16490216,2020,19.9342,110.4553,Asia
46,United States Fort Lauderdale–Hollywood International Airport,"Broward County, Florida",United States,FLL/KFLL,16484132,2020,26.057,-80.1593,North America
47,United States San Francisco International Airport,"San Mateo County, California",United States,SFO/KSFO,16409625,2020,37.615223,-122.389977,North America
48,Russia Moscow Domodedovo Airport,"Domodedovo, Moscow Oblast",Russia,DME/UUDD,16300000,2020,55.410307,37.902451,Europe
49,China Beijing Daxing International Airport,"Daxing District, Beijing",China,PKX/ZBAD,16091449,2020,40.072498,116.597504,Asia
